psid,study1,scholarshipCondition,gpa1,gpa2,gpa1value,gpa2value,name1,name2,club1,club2,scholarship,Q40,Q102,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q13,Q14,Q103_4,Q42,Q46,Q48,Q50,Q52_1,Q52_2,Q54,Q56,Q58,Q60_1,Q60_2,Q62,Q64,Q66,Q68_1,Q68_2,Q70,Q72,Q74,Q76_1,Q76_2,Q78,Q126,Q72,Q80,Q82,Q84,Q86,Q88,Q90,Q92,Q94,Q96,Q98_1,Q98_2,Q100,Q102,Q104,Q106_1,Q106_2,Q108,Q110,Q112,Q114_1,Q114_2,Q116,Q118,Q120,Q122_1,Q122_2,Q124
EQMtgbNuEMs0hmqFfXDwnw**,1,2,2,2,3.5,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,2,4,10,1,3,4,2,3,2,,,12,42,41,38,35,47,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0JnNaxGrIVw**,1,2,2,1,3.5,4,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,2,3,14,1,3,2,6,4,3,,,79,12,11,85,11,20,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0K71WlSgYZA**,1,1,1,2,4,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,2,1,1,43,1,5,5,4,2,,2,,0,50,39,50,40,18,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0PEkFtfWi2g**,1,1,2,1,3.5,4,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,7,6,1,4,2,6,4,1,,,9,14,18,25,23,29,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0R9nKY6bRWg**,3,,,,,,,,,,,,1,2,1,37,1,9,4,2,2,,2,,1,7,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0rGEaT8vpcw**,3,,,,,,,,,,,,2,1,3,33,2,9,5,3,3,2,,,7,59,27,53,49,45,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0VGY9ekB8CQ**,3,,,,,,,,,,,,2,1,1,33,1,1,2,3,1,,,1,63,38,72,85,40,58,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,1,1,9,1,1,1,5,5,1,1,1,9,1,1,1,1,6,4,1
EQMtgbNuEMs0WW3_sIPqFQ**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs0ZLkLM7aTLQ**,,,,,,,,,,,,,7,1,4,6,1,1,3,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs10Qoh88Z8sg**,1,2,2,2,3.5,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,1,1,48,1,4,3,2,2,,1,,4,91,2,95,91,74,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
